Faculty_Full_Name,Rank,Professor_Type,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Fruman, David",prof,research,"Fruman, David[Author] AND Irvine[Affiliation] OR Fruman, D[Author] AND Irvine[Affiliation]","['39024548', '38848689', '37956312', '37596643', '37553270', '37145016', '37141632', '37124486', '36727438', '36572154']","Triple Negative Breast Neoplasms; Humans; Animals; Mice; Cholesterol; Female; Proto-Oncogene Proteins c-akt; Hydroxymethylglutaryl-CoA Reductase Inhibitors; Quinolines; Xenograft Model Antitumor Assays; Drug Synergism; Cell Line, Tumor; Sterol Regulatory Element Binding Protein 2; Cell Proliferation; Mechanistic Target of Rapamycin Complex 1; Humans; Signal Transduction; Proteasome Endopeptidase Complex; Ubiquitin-Protein Ligases; Proteolysis; TOR Serine-Threonine Kinases; Multiprotein Complexes; Animals; Mevalonic Acid; Ubiquitin; Humans; Myeloid Cell Leukemia Sequence 1 Protein; Multiple Myeloma; Proto-Oncogene Proteins c-bcl-2; Hydroxymethylglutaryl-CoA Reductase Inhibitors; Retrospective Studies; Prospective Studies; Antineoplastic Agents; Hematologic Neoplasms; Humans; Phosphatidylinositol 3-Kinases; Proto-Oncogene Proteins c-akt; Signal Transduction; TOR Serine-Threonine Kinases; Neoplasms; Humans; Phosphatidylinositol 3-Kinases; Phosphoinositide-3 Kinase Inhibitors; Reperfusion Injury; Protein Isoforms; Cobalt; Immunosuppressive Agents; Catalysis; Animals; Mice; Oligonucleotides; Endosomes; Endocytosis; Biological Transport; Oligonucleotides, Antisense; RNA, Small Interfering; Humans; Mice; Animals; Cell Line, Tumor; Mice, Inbred C57BL; Doxorubicin; Drug Delivery Systems; DNA Adducts; Neoplasms"
"Gaut, Brandon",prof,research,"Gaut, Brandon[Author] AND Irvine[Affiliation] OR Gaut, B[Author] AND Irvine[Affiliation]","['40415570', '40032836', '40030019', '39975360', '39918952', '39496880', '39235107', '38572990', '38197288', '38128754', '38111050', '38011557', '37918960', '37550371', '37434713', '37392001', '37276420', '37253933', '37140066', '37138640']","Vitis; Genome, Plant; Plant Breeding; Reproduction; Pollination; Genetic Variation; Genetics, Population; Heterozygote; Persea; Honduras; Domestication; Fruit; Archaeology; Humans; Seeds; History, Ancient; Crops, Agricultural; Genome, Plant; Epigenomics; Genomics; Homozygote; Reproduction; Epigenesis, Genetic; Gene Expression Regulation, Plant; Genes, Plant; Diploidy; Chromosomes, Plant; Vitis; Quantitative Trait Loci; Genome, Plant; Genome-Wide Association Study; Plant Breeding; Phenotype; Chromosome Mapping; Genomics; Genetic Variation; Polymorphism, Single Nucleotide; Epistasis, Genetic; Escherichia coli; Escherichia coli Proteins; DNA-Directed RNA Polymerases; Genetic Fitness; Mutation; Hot Temperature; Rho Factor; Adaptation, Physiological; Sphingomonas; Climate Change; California; Soil Microbiology; Ecosystem; Phylogeny; Microbiota; Metagenomics; Grassland; Phylogeny; Periodicals as Topic; Molecular Biology; Evolution, Molecular; Software; DNA Transposable Elements; Epigenesis, Genetic; Genome, Plant; Plants; RNA, Small Interfering; Genome, Plant; Vitis; Plant Breeding; Genomics; North America; Humans; Domestication; Clergy; Heterozygote; Genetic Variation; Zea mays; DNA Transposable Elements; MicroRNAs; DNA Methylation; Nucleic Acid Conformation; Gene Expression Regulation, Plant; RNA, Plant; Genome, Plant; Genes, Plant; Domestication; Phylogeny; Oryza; China; Alleles; Climate Change; Genetics, Population; Polymorphism, Single Nucleotide; Genetic Variation; Domestication; Europe; Genomics; Sequence Analysis, DNA; Vitis; Vitis; Genome-Wide Association Study; Xylella; Climate Change; Escherichia coli; Evolution, Molecular; Adaptation, Physiological; Phenotype; Genotype; Mutation; Genetic Background; Epistasis, Genetic"
"German, Donovan",prof,research,"German, Donovan[Author] AND Irvine[Affiliation] OR German, D[Author] AND Irvine[Affiliation]","['39535517', '39079786', '37690047', '37625480', '36646309', '36646307', '36572236', '36321765', '36013968', '35961610', '35537602', '35199884', '35076747']","Down Syndrome; Humans; Alzheimer Disease; Biomarkers; tau Proteins; Disease Progression; Animals; Fishes; Stomach; Biological Evolution; Animals; Carnivory; Trypsin; Phylogeny; Pancreatic alpha-Amylases; Perciformes; Fishes; Diet; Lipase; Esters; Animals; Carnivory; Diet; Perciformes; Digestive System Physiological Phenomena; Body Size; Male; Animals; Digestion; Reproducibility of Results; Lizards; Temperature; Diet; Animals; Acclimatization; Adaptation, Physiological; Fires; Animals; Mytilus; Temperature; Heat-Shock Response; Cold Temperature; Acclimatization; Animals; Ecosystem; Genome; Perciformes; Fishes; Genomics; Chromosomes; Animals; Diet; Dietary Fiber; Digestive System Physiological Phenomena; Gastrointestinal Microbiome; RNA, Ribosomal, 16S; Zebrafish; Alkaline Phosphatase; Aminopeptidases; Amylases; Animals; Cellulases; Gastropoda; Heat-Shock Response; Leucine; Trypsin; alpha-Glucosidases; Animal Husbandry; Animals; Diet; Animals; Diet; Fishes; Perciformes; Phylogeny; Transcriptome"
"Gershon, Paul",prof,research,"Gershon, Paul[Author] AND Irvine[Affiliation] OR Gershon, P[Author] AND Irvine[Affiliation]","['40478625', '40467586', '39147237', '38629187', '37646531', '36219861', '35330912']","Humans; Insulin-Secreting Cells; Animals; Signal Transduction; Proto-Oncogene Mas; Mice; Organoids; src-Family Kinases; Pluripotent Stem Cells; Diabetes Mellitus, Experimental; Transcription Factors; Ion Channels; DNA-Binding Proteins; Insulin Secretion; Glucose; Nuclear Proteins; Transcriptome; Male; Cell Differentiation; Islets of Langerhans; Membrane Proteins; Humans; Triple Negative Breast Neoplasms; DNA Damage; Female; Immunity, Innate; Phosphoric Monoester Hydrolases; Signal Transduction; Tumor Microenvironment; Humans; Chromatin; Transcription Factor 7-Like 1 Protein; Human Embryonic Stem Cells; Protein Binding; Wnt Signaling Pathway; Cell Line; Humans; Vaccinia; Deep Learning; Vaccinia virus; Virion; Poxviridae; Rats; Male; Humans; Animals; Adipose Tissue; Rodentia; Adipogenesis; Obesity; Fascia; Allografts"
"Glabe, Charles",prof,research,"Glabe, Charles[Author] AND Irvine[Affiliation] OR Glabe, C[Author] AND Irvine[Affiliation]","['40433590', '40120680', '38914864', '37801475', '36448627', '36429057', '36278355', '35183929']","Humans; Pemphigus; Autoantibodies; Receptor, Muscarinic M3; Keratinocytes; Epitopes; Desmoglein 3; Desmoglein 1; Humans; Animals; Mice; Alzheimer Disease; tau Proteins; Single-Domain Antibodies; Neurofibrillary Tangles; Supranuclear Palsy, Progressive; Antibodies; Brain; Mice; Humans; Animals; Infant; Alzheimer Disease; Microglia; Mice, Transgenic; Plaque, Amyloid; Disease Models, Animal; Amyloid beta-Peptides; Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatases; Humans; Alzheimer Disease; Amyloid beta-Peptides; Calcium; Brain; Energy Metabolism; Mice; Animals; Mice, Transgenic; Alzheimer Disease; Amyloid beta-Protein Precursor; Amyloid beta-Peptides; Plaque, Amyloid; Disease Models, Animal; CA1 Region, Hippocampal; Glutathione; Antibodies, Monoclonal; Congo Red; Female; Humans; Hypertension; Pre-Eclampsia; Pregnancy; Proteinuria"
"Gonen, Shane",asst prof,research,"Gonen, Shane[Author] AND Irvine[Affiliation] OR Gonen, S[Author] AND Irvine[Affiliation]","['40251446', '39920100', '39840957', '39253517', '39185190', '39033537', '38915633', '38891853', '36590526']","Zebrafish; Animals; Gastrointestinal Microbiome; Bacteriophages; Virion; Escherichia coli; Humans; Brain; Humans; Spider Venoms; Cryoelectron Microscopy; NAV1.8 Voltage-Gated Sodium Channel; Peptides; Voltage-Gated Sodium Channel Blockers; Ion Channel Gating; Models, Molecular; Stenotrophomonas maltophilia; Bacteriophages; Humans; Phage Therapy; Gram-Negative Bacterial Infections; Kinetics; Anti-Bacterial Agents; Wastewater; Genomics; Conotoxins; Deep Learning; Animals; Algorithms; Models, Molecular; Conus Snail; Cryoelectron Microscopy; Models, Molecular; Proteins; Multiprotein Complexes; Image Processing, Computer-Assisted; Protein Conformation"
"Goulding, Celia",prof,research,"Goulding, Celia[Author] AND Irvine[Affiliation] OR Goulding, C[Author] AND Irvine[Affiliation]","['39770668', '39394186', '38425033', '37747938', '36395154', '36271082', '36038560', '35558562']","Glycation End Products, Advanced; Enterobacter cloacae; Bacterial Proteins; Pyruvaldehyde; Arginine; Protein Processing, Post-Translational; Lysine; Disulfides; Humans; Pandemics; Mycobacterium tuberculosis; Tuberculosis; Siderophores; Iron; Disulfides; Bacterial Proteins; Mycobacteriaceae; Humans; Iron; Siderophores; Mycobacterium tuberculosis; Ligands; Bacterial Proteins; Heme; Alanine Dehydrogenase; Mycobacterium tuberculosis; Nucleosides; Enzyme Inhibitors; Drug Discovery; Anti-Bacterial Agents; Escherichia coli; Escherichia coli Proteins; Membrane Proteins; Proteolysis"
"Green, Kim",prof,research,"Green, Kim[Author] AND Irvine[Affiliation] OR Green, K[Author] AND Irvine[Affiliation]","['40475700', '40466634', '40311610', '40196824', '39988890', '39844286', '39671543', '39578645', '39484433', '39103533', '38895362', '38879499', '38711159', '38572865', '38506634', '38460121', '38426371', '38106071', '38099152', '37957324']","Animals; Microglia; Integrases; Mice; Mice, Transgenic; Alzheimer Disease; Disease Models, Animal; Brain; Mice, Inbred C57BL; Plaque, Amyloid; Male; Female; Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Alzheimer Disease; Amyloid beta-Peptides; Biomarkers; Double-Blind Method; Niacinamide; Phosphorylation; Proof of Concept Study; tau Proteins; Treatment Outcome; Vitamin B Complex; Alzheimer Disease; Animals; Humans; Down Syndrome; Transcriptome; Mice; Female; Gene Expression Profiling; Disease Models, Animal; Male; Cell Nucleus; Aged; Gene Regulatory Networks; Aged, 80 and over; Cell Communication; Animals; Alzheimer Disease; Receptors, Immunologic; Mice; Membrane Glycoproteins; Mice, Transgenic; Neurons; Transcriptome; Microglia; Brain; Disease Models, Animal; Plaque, Amyloid; Mutation; Astrocytes; Single-Cell Analysis; Humans; Mutation, Missense; Receptor, trkB; Brain-Derived Neurotrophic Factor; Gene Expression Profiling; Male; Animals; Mice; Demyelinating Diseases; Murine hepatitis virus; Cystatins; Mice, Knockout; Coronavirus Infections; Mice, Inbred C57BL; Neuroinflammatory Diseases; Animals; Alzheimer Disease; Microglia; Dendrimers; Plaque, Amyloid; Mice, Transgenic; Disease Models, Animal; Mice; Amyloid beta-Peptides; Receptors, Granulocyte-Macrophage Colony-Stimulating Factor; Humans; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Mice; Animals; Humans; Female; Microglia; Breast Neoplasms; Brain Neoplasms; Brain; Treatment Outcome"
"Green, Michael",prof,research,"Green, Michael[Author] AND Irvine[Affiliation] OR Green, M[Author] AND Irvine[Affiliation]","['40345610', '40279599', '40215501', '40036067', '40021189', '40007253', '39878999', '39843750', '39752696', '39718446', '39513400', '39485965', '39412423', '39303265', '39013848', '38895446', '38703765', '38671214', '38405768', '38370846']","Humans; Schizophrenia; Magnetic Resonance Imaging; Brain; Male; Female; Adult; White Matter; Gray Matter; Anisotropy; Middle Aged; Diffusion Tensor Imaging; Female; Humans; Male; Bipolar Disorder; Black or African American; Chromosome Mapping; Cohort Studies; Genetic Predisposition to Disease; Genome-Wide Association Study; Genomics; Hispanic or Latino; Phenotype; White; White People; Oxygen; Oxidation-Reduction; Models, Molecular; Iron; Crystallography, X-Ray; Catalytic Domain; Humans; Antifungal Agents; Candidiasis, Invasive; Child; Female; Male; Child, Preschool; Adolescent; Infant; Administration, Intravenous; Triazoles; Cohort Studies; Treatment Outcome; Climate Change; Nitrogen; Plant Leaves; Snow; Plants; Plant Physiological Phenomena; Ecosystem; Plant Development; Humans; Schizophrenia; Male; Female; Adult; Algorithms; Magnetic Resonance Imaging; Gray Matter; Machine Learning; Middle Aged; Brain; Cross-Sectional Studies; Europe; Neuroimaging; Reproducibility of Results; North America; Hippocampus; Humans; Genome-Wide Association Study; Head; Neoplasms; Female; Male; Polymorphism, Single Nucleotide; Genetic Variation; Organ Size; Signal Transduction; Adult; Genetic Predisposition to Disease; Humans; Schizophrenia; Male; Female; Adult; Brain; Middle Aged; Schizophrenic Psychology; Neuroimaging; Cohort Studies; Magnetic Resonance Imaging; Thinking"
"Grill, Joshua",prof,research,"Grill, Joshua[Author] AND Irvine[Affiliation] OR Grill, J[Author] AND Irvine[Affiliation]","['40486075', '40476544', '40454424', '40243238', '40207420', '40095593', '40069789', '40017898', '39988989', '39928326', '39893378', '39814522', '39748852', '39671543', '39559869', '39366841', '39210635', '39086735', '39072914', '39041310']","Humans; Alzheimer Disease; Female; Male; Aged; Life Style; Apolipoprotein E4; Aged, 80 and over; Surveys and Questionnaires; Amyloid beta-Peptides; Aged; Aged, 80 and over; Female; Humans; Male; Aging; Asian American Native Hawaiian and Pacific Islander; Caregivers; Dementia; Registries; United States; Humans; Niacinamide; Alzheimer Disease; Male; Female; Aged; Administration, Oral; tau Proteins; Middle Aged; Biomarkers; Double-Blind Method; Humans; Female; Alzheimer Disease; Aged; Male; Biomarkers; Suicidal Ideation; Disclosure; Suicide; Positron-Emission Tomography; Cohort Studies; Aged, 80 and over; Amyloid; Amyloid beta-Peptides; Middle Aged; Brain; Cognitive Dysfunction; Alzheimer Disease; Life Style; Clinical Trials as Topic; Disease Progression; Humans; Humans; Registries; Male; Female; Surveys and Questionnaires; Aged; Middle Aged; Patient Selection; Adult; Longitudinal Studies; Aged, 80 and over; Alzheimer Disease; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Alzheimer Disease; Amyloid beta-Peptides; Biomarkers; Double-Blind Method; Niacinamide; Phosphorylation; Proof of Concept Study; tau Proteins; Treatment Outcome; Vitamin B Complex; Humans; Alzheimer Disease; Male; Female; Aged; Motivation; Biomarkers; Positron-Emission Tomography; Disclosure; Amyloid beta-Peptides; Alzheimer Disease; Humans; Biomarkers; Positron-Emission Tomography; Disease Management; Prognosis; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Alzheimer Disease; Asian; Hispanic or Latino; Patient Selection; Philippines; Republic of Korea; California; Humans; Alzheimer Disease; Positron-Emission Tomography; Female; Male; Aged; Cognitive Dysfunction; Antibodies, Monoclonal, Humanized; Patient Selection; Motivation; Humans; Male; Female; Alzheimer Disease; Aged; Biomarkers; Positron-Emission Tomography; Amyloid; Ethnicity; Motivation; Middle Aged"
"Gross, Steven",prof,research,"Gross, Steven[Author] AND Irvine[Affiliation] OR Gross, S[Author] AND Irvine[Affiliation]","['40333180', '40074328', '39948212', '38768214', '38472292', '38252641', '37986962', '36849450', '36191197', '35047912']","Histones; Lipopolysaccharides; Animals; Cell Membrane; Anti-Bacterial Agents; Antimicrobial Peptides; Polymyxin B; Humans; Immunity, Innate; Antimicrobial Cationic Peptides; Escherichia coli; Kinesins; Tubulin; Microtubules; Humans; Computer Simulation; Protein Binding; Animals; Kinesins; Biological Transport; Microtubules; Animals; Kinesins; Protein Binding; Kinetics; Microtubules; Computational Biology; Adenosine Diphosphate; Computer Simulation; Models, Biological; Diffusion; Proteins; Cell Communication; Protein Conformation; Protein Processing, Post-Translational; Anti-Bacterial Agents; Clostridioides difficile; Antimicrobial Cationic Peptides; Vancomycin; Metronidazole; Adjuvants, Immunologic; Adjuvants, Pharmaceutic; Clostridioides; DNA; Dynactin Complex; Dyneins; Glycogen Synthase Kinase 3 beta; Kinesins; Microtubule-Associated Proteins; Microtubules; Organelles"
"Halbrook, Christopher",asst prof,research,"Halbrook, Christopher[Author] AND Irvine[Affiliation] OR Halbrook, C[Author] AND Irvine[Affiliation]","['39602282', '37986898', '37059070', '36727849', '36571444', '36411320', '36383486', '35156921']","Pinocytosis; Humans; Autophagy; Cell Line, Tumor; Sodium-Hydrogen Exchangers; Amiloride; Cell Proliferation; CRISPR-Cas Systems; Humans; Carcinoma, Pancreatic Ductal; Pancreatic Neoplasms; Tumor Microenvironment; Early Diagnosis; Prognosis; Animals; Humans; Mice; Arginase; Arginine; CD8-Positive T-Lymphocytes; Macrophages; Pancreatic Neoplasms; Humans; Gemcitabine; Deoxycytidine; Pancreatic Neoplasms; Carcinoma, Pancreatic Ductal; Drug Resistance, Neoplasm; Cell Line, Tumor; Animals; Mice; Humans; Pancreatic Neoplasms; Asparagine; Adenocarcinoma; Symbiosis; Tumor Microenvironment; Animals; Mice; Humans; RNA; Chromatography, Liquid; Tandem Mass Spectrometry; Gene Expression Profiling; Animals; Cell Line, Tumor; Cell Transformation, Neoplastic; Gene Expression Profiling; Granulocyte-Macrophage Colony-Stimulating Factor; Humans; Metabolic Networks and Pathways; Metabolomics; Mice; Mice, Inbred C57BL; Pancreatic Neoplasms; Proteomics; Signal Transduction; Transcription Factors; Tumor-Associated Macrophages"
"Hammer, Tobin",asst prof,research,"Hammer, Tobin[Author] AND Irvine[Affiliation] OR Hammer, T[Author] AND Irvine[Affiliation]","['40177853', '39998222', '39018234', '37855643', '37652785', '37089560', '36333950']","Animals; Bees; Gastrointestinal Microbiome; Symbiosis; Diet; Serratia marcescens; Insecta; Animals; Microbiota; Bacteria; DNA Contamination; Animals; Microbiota; Bacteria; Biodiversity; Bees; Animals; Gastrointestinal Microbiome; RNA, Ribosomal, 16S; Bacteria; Microbiota; Ecology; Biological Evolution; Microbiota; Symbiosis; Host Microbial Interactions; Humans; Bees; Animals; Longevity; RNA, Ribosomal, 16S; Microbiota; Gastrointestinal Microbiome; Bacteria"
"Hu, Yilin",prof,research,"Hu, Yilin[Author] AND Irvine[Affiliation] OR Hu, Y[Author] AND Irvine[Affiliation]","['40451423', '40334661', '40315313', '39809265', '39713742', '39663240', '39650689', '39485985', '39423379', '39094132', '38996325', '38865457', '38829073', '38810729', '38613283', '38569007', '38527309', '38518341', '38480894', '38457710']","Humans; Carcinoma, Non-Small-Cell Lung; ErbB Receptors; Lung Neoplasms; Exons; Female; Male; Prognosis; Biomarkers, Tumor; Middle Aged; Mutagenesis, Insertional; Protein Kinase Inhibitors; Aged; Circulating Tumor DNA; Drug Resistance, Neoplasm; Escherichia coli; Nitrogenase; Azotobacter vinelandii; Oxidoreductases; Bacterial Proteins; Nitrogen Fixation; Humans; Drug Delivery Systems; Neoplasms; Warburg Effect, Oncologic; Gold; Silicon Dioxide; Cell Line, Tumor; Drug Carriers; Lactic Acid; Mixed Function Oxygenases; Hydrogen Peroxide; Nanoparticles; Animals; Metal Nanoparticles; Drug Liberation; Nitrogenase; Biocatalysis; Evolution, Molecular; Catalysis; Nitrogenase; Phylogeny; Nitrogen; Molybdoferredoxin; Models, Molecular; Bacterial Proteins; Nitrogen Fixation; Humans; Female; Breast Neoplasms; Receptor, ErbB-2; Middle Aged; Adult; Aged; Immunohistochemistry; Biomarkers, Tumor; Retrospective Studies; Aged, 80 and over; In Situ Hybridization; Chromosomes, Human, Pair 17; Animals; Drosophila; Transcription Factors; Drosophila Proteins; Gene Expression; Drosophila melanogaster; Animals, Genetically Modified; Nitrogenase; Azotobacter vinelandii; Nitrogen; Adenosine Triphosphate"
"Hughes, Christopher",prof,research,"Hughes, Christopher[Author] AND Irvine[Affiliation] OR Hughes, C[Author] AND Irvine[Affiliation]","['40412386', '40167215', '40161596', '39386043', '39014561', '38947000', '38711620', '38576426', '38460307', '38183074', '38128127', '40151625', '37782104', '36864326', '36831603', '36481562', '36443378', '36405075', '36219861', '35385746']","Humans; Port-Wine Stain; Humans; Endothelial Cells; Endothelium, Vascular; Thrombosis; Humans; Triple Negative Breast Neoplasms; Breast; Paclitaxel; Signal Transduction; Stromal Cells; Tumor Microenvironment; Humans; Islets of Langerhans; Insulin; Diabetes Mellitus; Islets of Langerhans Transplantation; Glucose; Humans; Neoplasms; Coculture Techniques; Microfluidics; Tumor Microenvironment; Humans; Biomarkers, Tumor; Exosomes; Bayes Theorem; Colonic Neoplasms; RNA; Humans; Colorectal Neoplasms; Microfluidics; Tumor Microenvironment; Humans; Endothelial Cells; Transcriptome; Microvessels; Stromal Cells; Pancreatic Neoplasms; Rats; Male; Humans; Animals; Adipose Tissue; Rodentia; Adipogenesis; Obesity; Fascia; Allografts; Animals; Endothelial Cells; Humans; Mice; Neoplasms; Neovascularization, Pathologic; Signal Transduction; Tumor Microenvironment; cdc42 GTP-Binding Protein; rho GTP-Binding Proteins"
"Huxman, Travis",prof,research,"Huxman, Travis[Author] AND Irvine[Affiliation] OR Huxman, T[Author] AND Irvine[Affiliation]","['40415709', '40215280']",Introduced Species; California; Ecosystem; Plants; Grassland; Biomass; Phosphorus; Biodiversity; Nutrients; Nitrogen; Soil; Rain; Ecosystem; Fertilizers
"Inlay, Matthew",assoc prof,research,"Inlay, Matthew[Author] AND Irvine[Affiliation] OR Inlay, M[Author] AND Irvine[Affiliation]","['40466634', '40100602', '40100601', '37538042', '35273232', '35025109']","Animals; Mice; Immunophenotyping; Graft vs Host Disease; Hematopoietic Stem Cell Transplantation; Flow Cytometry; Major Histocompatibility Complex; Transplantation, Homologous; Transplantation Conditioning; Allografts; T-Lymphocytes; Animals; Graft vs Host Disease; Mice; Transplantation, Homologous; Transplantation Conditioning; Hematopoietic Stem Cell Transplantation; T-Lymphocytes; Flow Cytometry; Disease Models, Animal; Mice, Inbred C57BL; Mice; Animals; Fluticasone; Transplantation, Homologous; Hematopoietic Stem Cell Transplantation; Graft vs Host Disease; Immunosuppressive Agents; COVID-19 Nucleic Acid Testing; Humans; Molecular Diagnostic Techniques; Nucleic Acid Amplification Techniques; Real-Time Polymerase Chain Reaction; SARS-CoV-2; Saliva; Specimen Handling; Animals; Bone Marrow Transplantation; Brain; Coronavirus Infections; Macrophages; Mice; Mice, Inbred C57BL; Microglia"
"James, Anthony",prof,research,"James, Anthony[Author] AND Irvine[Affiliation] OR James, A[Author] AND Irvine[Affiliation]","['39602395', '39533215', '39135329', '39103925', '38773487', '38556782', '37965050', '37816607', '37816603', '37704988', '37549256', '37428915', '37085529', '37045866', '37009496', '36976765', '36671401', '36656895', '36455055', '36074773']","Animals; Aedes; Oviposition; Female; Mosquito Vectors; Vision, Ocular; Animals; Anopheles; RNA, Guide, CRISPR-Cas Systems; CRISPR-Cas Systems; Gene Drive Technology; Mosquito Vectors; Female; Male; Genetic Introgression; Mosquito Control; Mosquito Vectors; Malaria; Animals; Anopheles; Gene Drive Technology; Adaptive Clinical Trials as Topic; Animals; Aedes; MicroRNAs; Oviposition; Circadian Rhythm; Female; Mosquito Vectors; Animals; DNA Transposable Elements; Culicidae; Gene Transfer Techniques; Mosquito Vectors; DNA Transposable Elements; Animals; Culicidae; Animals, Genetically Modified; Gene Transfer Techniques; Mosquito Vectors; Mutagenesis, Insertional; Animals; Aedes; Dengue Virus; Insecticides; Mosquito Vectors; Zika Virus; Zika Virus Infection; Genetic Engineering; Animals, Genetically Modified; Animals; Bombyx; Pigments, Biological; Betalains; Gene Expression; Gene Expression Regulation, Enzymologic; Color; Animals; Male; Humans; Anopheles; Mosquito Vectors; Malaria; Plasmodium falciparum; Sporozoites; Malaria, Falciparum; Animals; Female; Humans; Male; Culicidae; Drosophila; Family; Filariasis; Mosquito Vectors; Sex Differentiation; Animals; Humans; Dengue Virus; Dengue; Aedes; Cell Death; Transgenes; Peptide Hydrolases; Animals; Mice; Rabbits; Humans; Tubulin; Plasmodium falciparum; Mosquito Vectors; Malaria; Malaria, Falciparum; Plasmodium; Anopheles; Male; Female; Humans; Schizophrenia; Case-Control Studies; Brain; Cerebral Cortex; Magnetic Resonance Imaging; Functional Laterality; Animals; Genetic Engineering; Mosquito Control; Vector Borne Diseases; Gene Transfer Techniques; Promoter Regions, Genetic; Animals; Humans; Aedes; Hedgehog Proteins; Mosquito Vectors; RNA; Transcriptional Activation; CRISPR-Cas Systems; Animals; Male; Culex; Aedes; Mosquito Vectors; Reproduction; Aedes; Animals; Culex; Disease Vectors; Humans; Mosquito Vectors"
