Faculty_Full_Name,Rank,Professor Type,Faculty,Faculty_Author,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Fruman, David",prof,research,"Fruman, David","Fruman, David[Author]","Fruman, David[Author] AND Irvine[Affiliation]","['39024548', '38848689', '37956312', '37596643', '37553270', '37145016', '37141632', '37124486', '36727438', '36572154']","Triple Negative Breast Neoplasms; Humans; Animals; Mice; Cholesterol; Female; Proto-Oncogene Proteins c-akt; Hydroxymethylglutaryl-CoA Reductase Inhibitors; Quinolines; Xenograft Model Antitumor Assays; Drug Synergism; Cell Line, Tumor; Sterol Regulatory Element Binding Protein 2; Cell Proliferation; Mechanistic Target of Rapamycin Complex 1; Humans; Signal Transduction; Proteasome Endopeptidase Complex; Ubiquitin-Protein Ligases; Proteolysis; TOR Serine-Threonine Kinases; Multiprotein Complexes; Animals; Mevalonic Acid; Ubiquitin; Humans; Myeloid Cell Leukemia Sequence 1 Protein; Multiple Myeloma; Proto-Oncogene Proteins c-bcl-2; Hydroxymethylglutaryl-CoA Reductase Inhibitors; Retrospective Studies; Prospective Studies; Antineoplastic Agents; Hematologic Neoplasms; Humans; Phosphatidylinositol 3-Kinases; Proto-Oncogene Proteins c-akt; Signal Transduction; TOR Serine-Threonine Kinases; Neoplasms; Humans; Phosphatidylinositol 3-Kinases; Phosphoinositide-3 Kinase Inhibitors; Reperfusion Injury; Protein Isoforms; Cobalt; Immunosuppressive Agents; Catalysis; Animals; Mice; Oligonucleotides; Endosomes; Endocytosis; Biological Transport; Oligonucleotides, Antisense; RNA, Small Interfering; Humans; Mice; Animals; Cell Line, Tumor; Mice, Inbred C57BL; Doxorubicin; Drug Delivery Systems; DNA Adducts; Neoplasms"
"Gaut, Brandon",prof,research,"Gaut, Brandon","Gaut, Brandon[Author]","Gaut, Brandon[Author] AND Irvine[Affiliation]","['40032836', '40030019', '39975360', '39918952', '39496880', '39235107', '38572990', '38197288', '38128754', '38111050', '38011557', '37918960', '37550371', '37434713', '37392001', '37276420', '37253933', '37140066', '37138640', '36611012']","Vitis; Genome, Plant; Plant Breeding; Reproduction; Domestication; Pollination; Crops, Agricultural; Genetics, Population; Genomics; Genetic Variation; Heterozygote; Persea; Honduras; Domestication; Fruit; Archaeology; Seeds; History, Ancient; Crops, Agricultural; Genome, Plant; Epigenomics; Genomics; Diploidy; Reproduction; Chromosomes, Plant; Epigenesis, Genetic; Homozygote; DNA Methylation; Genes, Plant; Vitis; Quantitative Trait Loci; Genome, Plant; Genome-Wide Association Study; Plant Breeding; Phenotype; Chromosome Mapping; Genomics; Genetic Variation; Polymorphism, Single Nucleotide; Epistasis, Genetic; Escherichia coli; Escherichia coli Proteins; DNA-Directed RNA Polymerases; Genetic Fitness; Mutation; Hot Temperature; Rho Factor; Adaptation, Physiological; Sphingomonas; Climate Change; California; Soil Microbiology; Ecosystem; Phylogeny; Microbiota; Metagenomics; Grassland; Phylogeny; Periodicals as Topic; Molecular Biology; Evolution, Molecular; Software; DNA Transposable Elements; Epigenesis, Genetic; Genome, Plant; Plants; RNA, Small Interfering; Genome, Plant; Vitis; Plant Breeding; Genomics; North America; Humans; Domestication; Clergy; Heterozygote; Genetic Variation; Zea mays; DNA Transposable Elements; MicroRNAs; DNA Methylation; Nucleic Acid Conformation; Gene Expression Regulation, Plant; RNA, Plant; Genome, Plant; Genes, Plant; Domestication; Phylogeny; Oryza; China; Alleles; Domestication; Europe; Genomics; Sequence Analysis, DNA; Vitis; Vitis; Genome-Wide Association Study; Xylella; Climate Change; Escherichia coli; Evolution, Molecular; Adaptation, Physiological; Phenotype; Genotype; Mutation; Genetic Background; Epistasis, Genetic"
"German, Donovan",prof,research,"German, Donovan","German, Donovan[Author]","German, Donovan[Author] AND Irvine[Affiliation]","['39079786', '37690047', '37625480', '36646309', '36646307', '36572236', '36321765', '36013968', '35961610', '35537602', '35199884', '35076747']","Animals; Fishes; Stomach; Biological Evolution; Animals; Carnivory; Trypsin; Phylogeny; Pancreatic alpha-Amylases; Perciformes; Fishes; Diet; Lipase; Esters; Animals; Carnivory; Diet; Perciformes; Digestive System Physiological Phenomena; Body Size; Male; Animals; Digestion; Reproducibility of Results; Lizards; Temperature; Diet; Animals; Acclimatization; Adaptation, Physiological; Fires; Animals; Mytilus; Temperature; Heat-Shock Response; Cold Temperature; Acclimatization; Animals; Ecosystem; Genome; Perciformes; Fishes; Genomics; Chromosomes; Animals; Diet; Dietary Fiber; Digestive System Physiological Phenomena; Gastrointestinal Microbiome; RNA, Ribosomal, 16S; Zebrafish; Alkaline Phosphatase; Aminopeptidases; Amylases; Animals; Cellulases; Gastropoda; Heat-Shock Response; Leucine; Trypsin; alpha-Glucosidases; Animal Husbandry; Animals; Diet; Animals; Diet; Fishes; Perciformes; Phylogeny; Transcriptome"
"Gershon, Paul",prof,research,"Gershon, Paul","Gershon, Paul[Author]","Gershon, Paul[Author] AND Irvine[Affiliation]","['39147237', '38629187', '37646531', '36219861', '35330912']","Humans; Triple Negative Breast Neoplasms; DNA Damage; Female; Immunity, Innate; Phosphoric Monoester Hydrolases; Signal Transduction; Tumor Microenvironment; Humans; Chromatin; Transcription Factor 7-Like 1 Protein; Human Embryonic Stem Cells; Protein Binding; Wnt Signaling Pathway; Cell Line; Humans; Vaccinia; Deep Learning; Vaccinia virus; Virion; Poxviridae; Rats; Male; Humans; Animals; Adipose Tissue; Rodentia; Adipogenesis; Obesity; Fascia; Allografts"
"Glabe, Charles",prof,research,"Glabe, Charles","Glabe, Charles[Author]","Glabe, Charles[Author] AND Irvine[Affiliation]","['40120680', '38914864', '37801475', '36448627', '36429057', '36278355', '35183929']","Humans; Animals; Mice; Alzheimer Disease; tau Proteins; Single-Domain Antibodies; Neurofibrillary Tangles; Supranuclear Palsy, Progressive; Antibodies; Brain; Mice; Humans; Animals; Infant; Alzheimer Disease; Microglia; Mice, Transgenic; Plaque, Amyloid; Disease Models, Animal; Amyloid beta-Peptides; Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatases; Humans; Alzheimer Disease; Amyloid beta-Peptides; Calcium; Brain; Energy Metabolism; Mice; Animals; Mice, Transgenic; Alzheimer Disease; Amyloid beta-Protein Precursor; Amyloid beta-Peptides; Plaque, Amyloid; Disease Models, Animal; CA1 Region, Hippocampal; Glutathione; Antibodies, Monoclonal; Congo Red; Female; Humans; Hypertension; Pre-Eclampsia; Pregnancy; Proteinuria"
"Gonen, Shane",asst prof,research,"Gonen, Shane","Gonen, Shane[Author]","Gonen, Shane[Author] AND Irvine[Affiliation]","['40251446', '39920100', '39840957', '39253517', '39185190', '39033537', '38915633', '38891853', '36590526']","Humans; Spider Venoms; NAV1.8 Voltage-Gated Sodium Channel; Cryoelectron Microscopy; Peptides; Animals; Models, Molecular; Voltage-Gated Sodium Channel Blockers; Ion Channel Gating; Protein Binding; Stenotrophomonas maltophilia; Bacteriophages; Humans; Phage Therapy; Gram-Negative Bacterial Infections; Kinetics; Anti-Bacterial Agents; Wastewater; Genomics; Conotoxins; Deep Learning; Animals; Algorithms; Models, Molecular; Conus Snail; Cryoelectron Microscopy; Models, Molecular; Proteins; Multiprotein Complexes; Image Processing, Computer-Assisted; Protein Conformation"
"Goulding, Celia",prof,research,"Goulding, Celia","Goulding, Celia[Author]","Goulding, Celia[Author] AND Irvine[Affiliation]","['39770668', '39394186', '38425033', '37747938', '36395154', '36271082', '36038560', '35558562']","Glycation End Products, Advanced; Enterobacter cloacae; Bacterial Proteins; Pyruvaldehyde; Arginine; Protein Processing, Post-Translational; Lysine; Disulfides; Humans; Pandemics; Mycobacterium tuberculosis; Tuberculosis; Siderophores; Iron; Disulfides; Bacterial Proteins; Mycobacteriaceae; Humans; Iron; Siderophores; Mycobacterium tuberculosis; Ligands; Bacterial Proteins; Heme; Alanine Dehydrogenase; Mycobacterium tuberculosis; Nucleosides; Enzyme Inhibitors; Drug Discovery; Anti-Bacterial Agents; Escherichia coli; Escherichia coli Proteins; Membrane Proteins; Proteolysis"
"Green, Kim",prof,research,"Green, Kim","Green, Kim[Author]","Green, Kim[Author] AND Irvine[Affiliation]","['40311610', '39988890', '39844286', '39671543', '39578645', '39484433', '39103533', '38895362', '38879499', '38711159', '38572865', '38506634', '38460121', '38426371', '38106071', '38099152', '37957324', '37850241', '37546983', '37352687']","Animals; Microglia; Integrases; Mice; Mice, Transgenic; Alzheimer Disease; Disease Models, Animal; Brain; Mice, Inbred C57BL; Plaque, Amyloid; Male; Female; Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Alzheimer Disease; Amyloid beta-Peptides; Biomarkers; Double-Blind Method; Niacinamide; Phosphorylation; Proof of Concept Study; tau Proteins; Treatment Outcome; Vitamin B Complex; Alzheimer Disease; Animals; Humans; Down Syndrome; Transcriptome; Mice; Female; Gene Expression Profiling; Disease Models, Animal; Male; Cell Nucleus; Aged; Gene Regulatory Networks; Aged, 80 and over; Cell Communication; Animals; Alzheimer Disease; Receptors, Immunologic; Mice; Membrane Glycoproteins; Mice, Transgenic; Neurons; Transcriptome; Microglia; Brain; Disease Models, Animal; Plaque, Amyloid; Mutation; Astrocytes; Single-Cell Analysis; Humans; Mutation, Missense; Receptor, trkB; Brain-Derived Neurotrophic Factor; Gene Expression Profiling; Male; Animals; Mice; Demyelinating Diseases; Murine hepatitis virus; Cystatins; Mice, Knockout; Coronavirus Infections; Mice, Inbred C57BL; Neuroinflammatory Diseases; Animals; Alzheimer Disease; Microglia; Dendrimers; Plaque, Amyloid; Mice, Transgenic; Disease Models, Animal; Mice; Amyloid beta-Peptides; Receptors, Granulocyte-Macrophage Colony-Stimulating Factor; Humans; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Mice; Animals; Humans; Female; Microglia; Breast Neoplasms; Brain Neoplasms; Brain; Treatment Outcome; Humans; COVID-19; Alzheimer Disease; Brain; SARS-CoV-2; Risk Factors; Pandemics; Mice; Animals; Microglia; Murine hepatitis virus; Remyelination; Neuroinflammatory Diseases; White Matter; Demyelinating Diseases; Coronavirus Infections; Mice, Inbred C57BL"
"Green, Michael",prof,research,"Green, Michael","Green, Michael[Author]","Green, Michael[Author] AND Irvine[Affiliation]","['40036067', '39718446', '39513400', '37589394', '36445204', '36240444', '35396580']","Oxygen; Oxidation-Reduction; Models, Molecular; Iron; Crystallography, X-Ray; Catalytic Domain; Humans; Antifungal Agents; Candidiasis, Invasive; Child; Female; Male; Child, Preschool; Adolescent; Infant; Administration, Intravenous; Triazoles; Cohort Studies; Treatment Outcome; Humans; Child; Aged, 80 and over; Candidemia; Candidiasis, Invasive; Logistic Models; Cohort Studies; Risk Factors; Antifungal Agents; Nitrogenase; Serine; Ligands; Electron Spin Resonance Spectroscopy; Electrons; Oxygen; Ligands; Chloride Peroxidase; Heme; Cytochrome P-450 Enzyme System; Coordination Complexes; Alleles; Genetic Predisposition to Disease; Genome-Wide Association Study; Genomics; Humans; Polymorphism, Single Nucleotide; Schizophrenia"
"Grill, Joshua",prof,research,"Grill, Joshua","Grill, Joshua[Author]","Grill, Joshua[Author] AND Irvine[Affiliation]","['40243238', '40207420', '40095593', '40069789', '40017898', '39988989', '39928326', '39893378', '39814522', '39748852', '39671543', '39366841', '39210635', '39086735', '39072914', '39041310', '39008283', '38962958', '38629508', '38585443']","Aged; Aged, 80 and over; Female; Humans; Male; Aging; Asian American Native Hawaiian and Pacific Islander; Caregivers; Dementia; Registries; United States; Humans; Niacinamide; Alzheimer Disease; Administration, Oral; Male; Female; Aged; Biomarkers; tau Proteins; Double-Blind Method; Middle Aged; Humans; Female; Alzheimer Disease; Male; Aged; Biomarkers; Disclosure; Suicidal Ideation; Positron-Emission Tomography; Cohort Studies; Amyloid; Suicide; Antibodies, Monoclonal, Humanized; Amyloid beta-Peptides; Cognitive Dysfunction; Alzheimer Disease; Life Style; Clinical Trials as Topic; Disease Progression; Humans; Humans; Registries; Male; Female; Surveys and Questionnaires; Aged; Middle Aged; Patient Selection; Adult; Longitudinal Studies; Aged, 80 and over; Alzheimer Disease; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Alzheimer Disease; Amyloid beta-Peptides; Biomarkers; Double-Blind Method; Niacinamide; Phosphorylation; Proof of Concept Study; tau Proteins; Treatment Outcome; Vitamin B Complex; Alzheimer Disease; Humans; Biomarkers; Positron-Emission Tomography; Disease Management; Prognosis; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Alzheimer Disease; Asian; Hispanic or Latino; Patient Selection; Philippines; Republic of Korea; California; Humans; Alzheimer Disease; Positron-Emission Tomography; Female; Male; Aged; Cognitive Dysfunction; Antibodies, Monoclonal, Humanized; Patient Selection; Motivation; Humans; Male; Female; Alzheimer Disease; Aged; Biomarkers; Positron-Emission Tomography; Amyloid; Ethnicity; Motivation; Middle Aged; Humans; United States; Centers for Medicare and Medicaid Services, U.S.; Positron-Emission Tomography; Medicare; Insurance Coverage; Medicaid; Alzheimer Disease; Humans; Alzheimer Disease; Female; Male; Aged; Exercise; Aged; Female; Humans; Male; Alzheimer Disease; Amyloid beta-Peptides; Biomarkers; Brain; Ethnicity; Positron-Emission Tomography; Racial Groups"
"Gross, Steven",prof,research,"Gross, Steven","Gross, Steven[Author]","Gross, Steven[Author] AND Irvine[Affiliation]","['40074328', '39948212', '38768214', '38472292', '38252641', '37986962', '36849450', '36191197', '35047912']","Kinesins; Tubulin; Microtubules; Humans; Computer Simulation; Animals; Protein Binding; Kinesins; Biological Transport; Microtubules; Animals; Kinesins; Protein Binding; Kinetics; Microtubules; Computational Biology; Adenosine Diphosphate; Computer Simulation; Models, Biological; Diffusion; Proteins; Cell Communication; Protein Conformation; Protein Processing, Post-Translational; Anti-Bacterial Agents; Clostridioides difficile; Antimicrobial Cationic Peptides; Vancomycin; Metronidazole; Adjuvants, Immunologic; Adjuvants, Pharmaceutic; Clostridioides; DNA; Dynactin Complex; Dyneins; Glycogen Synthase Kinase 3 beta; Kinesins; Microtubule-Associated Proteins; Microtubules; Organelles"
"Halbrook, Christopher",asst prof,research,"Halbrook, Christopher","Halbrook, Christopher[Author]","Halbrook, Christopher[Author] AND Irvine[Affiliation]","['39602282', '37986898', '37059070', '36727849', '36571444', '36411320', '36383486', '35156921']","Pinocytosis; Humans; Autophagy; Cell Line, Tumor; Sodium-Hydrogen Exchangers; Amiloride; Cell Proliferation; CRISPR-Cas Systems; Humans; Carcinoma, Pancreatic Ductal; Pancreatic Neoplasms; Tumor Microenvironment; Early Diagnosis; Prognosis; Animals; Humans; Mice; Arginase; Arginine; CD8-Positive T-Lymphocytes; Macrophages; Pancreatic Neoplasms; Humans; Gemcitabine; Deoxycytidine; Pancreatic Neoplasms; Carcinoma, Pancreatic Ductal; Drug Resistance, Neoplasm; Cell Line, Tumor; Animals; Mice; Humans; Pancreatic Neoplasms; Asparagine; Adenocarcinoma; Symbiosis; Tumor Microenvironment; Animals; Mice; Humans; RNA; Chromatography, Liquid; Tandem Mass Spectrometry; Gene Expression Profiling; Animals; Cell Line, Tumor; Cell Transformation, Neoplastic; Gene Expression Profiling; Granulocyte-Macrophage Colony-Stimulating Factor; Humans; Metabolic Networks and Pathways; Metabolomics; Mice; Mice, Inbred C57BL; Pancreatic Neoplasms; Proteomics; Signal Transduction; Transcription Factors; Tumor-Associated Macrophages"
"Hammer, Tobin",asst prof,research,"Hammer, Tobin","Hammer, Tobin[Author]","Hammer, Tobin[Author] AND Irvine[Affiliation]","['40177853', '39998222', '39018234', '37855643', '37652785', '37089560', '36333950']","Insecta; Animals; Microbiota; Bacteria; DNA Contamination; Animals; Microbiota; Bacteria; Biodiversity; Bees; Animals; Gastrointestinal Microbiome; RNA, Ribosomal, 16S; Bacteria; Microbiota; Ecology; Biological Evolution; Microbiota; Symbiosis; Host Microbial Interactions; Humans; Bees; Animals; Longevity; RNA, Ribosomal, 16S; Microbiota; Gastrointestinal Microbiome; Bacteria"
"Hu, Yilin",prof,research,"Hu, Yilin","Hu, Yilin[Author]","Hu, Yilin[Author] AND Irvine[Affiliation]","['40315313', '39713742', '39663240', '38865457', '38527309', '37909748', '37871225', '37419863', '38463155', '36542730', '36235278', '36213009', '35925843', '35849738', '35550498', '35218104']","Escherichia coli; Nitrogenase; Azotobacter vinelandii; Oxidoreductases; Bacterial Proteins; Nitrogen Fixation; Nitrogenase; Biocatalysis; Evolution, Molecular; Catalysis; Nitrogenase; Phylogeny; Nitrogen; Molybdoferredoxin; Models, Molecular; Bacterial Proteins; Nitrogen Fixation; Nitrogenase; Azotobacter vinelandii; Nitrogen; Adenosine Triphosphate; Azotobacter vinelandii; Escherichia coli; Nitrogenase; Gene Expression; Bacterial Proteins; Recombinant Proteins; Nitrogenase; Escherichia coli; Nitrogen Fixation; Oxidoreductases; Azotobacter vinelandii; Metalloproteins; Bacterial Proteins; Carbon Monoxide; Oxidation-Reduction; Nitrogenase; Hydrocarbons; Adenosine Triphosphate; Nitrogenase; Hydrocarbons; Biotechnology; Carbon Dioxide; Hydrocarbons; Nitrogenase; Oxidation-Reduction; Oxidoreductases; Hydrocarbons; Nitrogenase; Oxidation-Reduction; Aldehyde Oxidoreductases; Carbon Dioxide; Formate Dehydrogenases; Hydrogenase; Multienzyme Complexes; Nitrogenase; Oxidation-Reduction; Metalloproteins; Methyltransferases; Molybdoferredoxin; Nitrogenase; S-Adenosylmethionine; Azotobacter vinelandii; Iron-Sulfur Proteins; Nitrogenase; Oxidation-Reduction; Oxidoreductases"
"Hughes, Christopher",prof,research,"Hughes, Christopher","Hughes, Christopher[Author]","Hughes, Christopher[Author] AND Irvine[Affiliation]","['40167215', '40161596', '39386043', '39014561', '38947000', '38711620', '38576426', '38460307', '38183074', '38128127', '40151625', '37782104', '36864326', '36831603', '36481562', '36443378', '36405075', '36219861', '35385746', '35274719']","Humans; Port-Wine Stain; Humans; Endothelial Cells; Endothelium, Vascular; Thrombosis; Humans; Triple Negative Breast Neoplasms; Breast; Paclitaxel; Signal Transduction; Stromal Cells; Tumor Microenvironment; Humans; Islets of Langerhans; Insulin; Diabetes Mellitus; Islets of Langerhans Transplantation; Glucose; Humans; Neoplasms; Coculture Techniques; Microfluidics; Tumor Microenvironment; Humans; Biomarkers, Tumor; Exosomes; Bayes Theorem; Colonic Neoplasms; RNA; Humans; Colorectal Neoplasms; Microfluidics; Tumor Microenvironment; Humans; Endothelial Cells; Transcriptome; Microvessels; Stromal Cells; Pancreatic Neoplasms; Rats; Male; Humans; Animals; Adipose Tissue; Rodentia; Adipogenesis; Obesity; Fascia; Allografts; Animals; Endothelial Cells; Humans; Mice; Neoplasms; Neovascularization, Pathologic; Signal Transduction; Tumor Microenvironment; cdc42 GTP-Binding Protein; rho GTP-Binding Proteins; Cell- and Tissue-Based Therapy; Colorectal Neoplasms; Humans; Immunotherapy; Immunotherapy, Adoptive"
"Huxman, Travis",prof,research,"Huxman, Travis","Huxman, Travis[Author]","Huxman, Travis[Author] AND Irvine[Affiliation]",['40215280'],Grassland; Biomass; Phosphorus; Biodiversity; Nutrients; Nitrogen; Soil; Rain; Ecosystem; Fertilizers
"Inlay, Matthew",assoc prof,research,"Inlay, Matthew","Inlay, Matthew[Author]","Inlay, Matthew[Author] AND Irvine[Affiliation]","['40100602', '40100601', '37538042', '35273232', '35025109']","Animals; Mice; Immunophenotyping; Flow Cytometry; Graft vs Host Disease; Hematopoietic Stem Cell Transplantation; Transplantation Conditioning; Major Histocompatibility Complex; Transplantation, Homologous; Allografts; T-Lymphocytes; Graft vs Host Disease; Animals; Mice; Flow Cytometry; Hematopoietic Stem Cell Transplantation; Transplantation, Homologous; Transplantation Conditioning; T-Lymphocytes; Disease Models, Animal; Mice; Animals; Fluticasone; Transplantation, Homologous; Hematopoietic Stem Cell Transplantation; Graft vs Host Disease; Immunosuppressive Agents; COVID-19 Nucleic Acid Testing; Humans; Molecular Diagnostic Techniques; Nucleic Acid Amplification Techniques; Real-Time Polymerase Chain Reaction; SARS-CoV-2; Saliva; Specimen Handling; Animals; Bone Marrow Transplantation; Brain; Coronavirus Infections; Macrophages; Mice; Mice, Inbred C57BL; Microglia"
"James, Anthony",prof,research,"James, Anthony","James, Anthony[Author]","James, Anthony[Author] AND Irvine[Affiliation]","['39602395', '39533215', '39135329', '39103925', '38773487', '38556782', '37965050', '37816607', '37816603', '37704988', '37549256', '37428915', '37085529', '37045866', '37009496', '36976765', '36671401', '36656895', '36455055', '36074773']","Animals; Aedes; Oviposition; Female; Mosquito Vectors; Vision, Ocular; Animals; Anopheles; RNA, Guide, CRISPR-Cas Systems; CRISPR-Cas Systems; Gene Drive Technology; Mosquito Vectors; Female; Male; Genetic Introgression; Mosquito Control; Mosquito Vectors; Malaria; Animals; Anopheles; Gene Drive Technology; Adaptive Clinical Trials as Topic; Animals; Aedes; MicroRNAs; Oviposition; Circadian Rhythm; Female; Mosquito Vectors; Animals; DNA Transposable Elements; Culicidae; Gene Transfer Techniques; Mosquito Vectors; DNA Transposable Elements; Animals; Culicidae; Animals, Genetically Modified; Gene Transfer Techniques; Mosquito Vectors; Mutagenesis, Insertional; Animals; Aedes; Dengue Virus; Insecticides; Mosquito Vectors; Zika Virus; Zika Virus Infection; Genetic Engineering; Animals, Genetically Modified; Animals; Bombyx; Pigments, Biological; Betalains; Gene Expression; Gene Expression Regulation, Enzymologic; Color; Animals; Male; Humans; Anopheles; Mosquito Vectors; Malaria; Plasmodium falciparum; Sporozoites; Malaria, Falciparum; Animals; Female; Humans; Male; Culicidae; Drosophila; Family; Filariasis; Mosquito Vectors; Sex Differentiation; Animals; Humans; Dengue Virus; Dengue; Aedes; Cell Death; Transgenes; Peptide Hydrolases; Animals; Mice; Rabbits; Humans; Tubulin; Plasmodium falciparum; Mosquito Vectors; Malaria; Malaria, Falciparum; Plasmodium; Anopheles; Male; Female; Humans; Schizophrenia; Case-Control Studies; Brain; Cerebral Cortex; Magnetic Resonance Imaging; Functional Laterality; Animals; Genetic Engineering; Mosquito Control; Vector Borne Diseases; Gene Transfer Techniques; Promoter Regions, Genetic; Animals; Humans; Aedes; Hedgehog Proteins; Mosquito Vectors; RNA; Transcriptional Activation; CRISPR-Cas Systems; Animals; Male; Culex; Aedes; Mosquito Vectors; Reproduction; Aedes; Animals; Culex; Disease Vectors; Humans; Mosquito Vectors"
"Kawas, Claudia",prof,research,"Kawas, Claudia","Kawas, Claudia[Author]","Kawas, Claudia[Author] AND Irvine[Affiliation]","['40293530', '39807681', '39777966', '39666918', '39535349', '39504937', '39352226', '39254234', '39159436', '39055052', '39008782', '38896163', '38626853', '38602280', '38175995', '37742640', '37540023', '37522210', '37398389', '37382680']","Humans; Male; Female; Aged; Frontotemporal Lobar Degeneration; TDP-43 Proteinopathies; Diagnosis, Differential; Aged, 80 and over; DNA-Binding Proteins; Middle Aged; Brain; Inclusion Bodies; Dementia; Humans; TDP-43 Proteinopathies; Alzheimer Disease; Limbic System; Hippocampus; Dementia; Humans; Male; Female; Aged, 80 and over; Autopsy; Risk Factors; Cerebrovascular Disorders; Humans; Female; Alzheimer Disease; Male; Aged, 80 and over; Neurofibrillary Tangles; Retrospective Studies; Longitudinal Studies; Plaque, Amyloid; Angiotensin-Converting Enzyme Inhibitors; Adrenergic beta-Antagonists; Cataract; Brain; Medical History Taking; Apolipoproteins E; Humans; Female; Male; Aged, 80 and over; Positron-Emission Tomography; Case-Control Studies; Magnetic Resonance Imaging; Amyloidosis; Cognitive Dysfunction; Cerebrovascular Circulation; Brain; Ethylene Glycols; Humans; Aged, 80 and over; Male; Female; Cognition; Longitudinal Studies; Hand Strength; Brain; Walking Speed; Cognitive Dysfunction; Neuropsychological Tests; Physical Functional Performance; Aging; Humans; Female; Male; Aged; Alzheimer Disease; Aged, 80 and over; Hippocampus; Lewy Bodies; DNA-Binding Proteins; Atrophy; TDP-43 Proteinopathies; Disease Progression; Dementia; Humans; Female; Male; Educational Status; Aged, 80 and over; Longitudinal Studies; Cognition; Executive Function; Neuropsychological Tests; Sex Factors; Humans; Male; Female; Aged, 80 and over; Walking Speed; Reference Values; Ethnicity; Geriatric Assessment; Cohort Studies; Racial Groups; Self-Help Devices; Humans; Female; Male; White Matter; Hippocampus; Aged, 80 and over; Longitudinal Studies; Magnetic Resonance Imaging; Cognitive Dysfunction; Positron-Emission Tomography; Cognition; Cohort Studies; Organ Size; Ethylene Glycols; Aniline Compounds; Amyloid beta-Peptides; Amyloid; Humans; Female; Aged; Male; Alzheimer Disease; DNA-Binding Proteins; TDP-43 Proteinopathies; Aged, 80 and over; Databases, Factual; Frontotemporal Lobar Degeneration; Brain; Amyotrophic Lateral Sclerosis; Hippocampus; Middle Aged; Alzheimer Disease; Extracellular Vesicles; Cell Separation; Cerebral Cortex; Humans; Cryopreservation; Autopsy; RNA-Seq; Neuroglia; Neurons; Humans; Aged, 80 and over; Female; Male; Sleep; Brain; Aged; Autopsy; Self Report; Amyloid beta-Peptides; Aging; Sleep Duration; Nervous System Diseases; Aged, 80 and over; TDP-43 Proteinopathies; Centenarians; Dementia; Brain; Alzheimer Disease; Nonagenarians; Humans; TDP-43 Proteinopathies; Alzheimer Disease; Aged, 80 and over; Syncope; Dementia; Aged; Lewy Body Disease; Tauopathies; Humans; DNA-Binding Proteins; Male; Humans; Female; Aged; Aged, 80 and over; Self Report; Sleep; Risk Factors; Sleep Duration; Dementia; Humans; Alzheimer Disease; Brain; Cognitive Dysfunction; Lewy Body Disease; DNA-Binding Proteins; Aged, 80 and over; Female; Humans; Male; Aging; Cognition; Cognitive Dysfunction; Cohort Studies; Hippocampal Sclerosis; Hippocampus; Logistic Models; Neuropathology"
"Kim, Seungsoo",asst prof,research,"Kim, Seungsoo","Kim, Seungsoo[Author]","Kim, Seungsoo[Author] AND Irvine[Affiliation] OR 0000-0002-5559-5289[Author - Identifier]",['38853998'],
